,,,Sqft,Rate,Rate+GST,Online Price,List Price
UltiScrub,24,0,0,550,577.5,0,0
,24,48,8,550,577.5,3696,4620
,24,54,9,550,577.5,4158,5197
,24,60,10,550,577.5,4620,5775
,24,66,11,550,577.5,5082,6352
,24,72,12,550,577.5,5544,6930
,24,78,13,550,577.5,6006,7507
,24,84,14,550,577.5,6468,8085
,24,90,15,550,577.5,6930,8662
,24,96,16,550,577.5,7392,9240
,24,102,17,550,577.5,7854,9817
,24,108,18,550,577.5,8316,10395
,24,114,19,550,577.5,8778,10972
,24,120,20,550,577.5,9240,11550
,24,126,21,550,577.5,9702,12127
,24,132,22,550,577.5,10164,12705
,24,138,23,550,577.5,10626,13282
,24,144,24,550,577.5,11088,13860
,24,150,25,550,577.5,11550,14437
,24,156,26,550,577.5,12012,15015
,24,162,27,550,577.5,12474,15592
,24,168,28,550,577.5,12936,16170
,24,174,29,550,577.5,13398,16747
,24,180,30,550,577.5,13860,17325
,24,186,31,550,577.5,14322,17902
,24,192,32,550,577.5,14784,18480
,24,198,33,550,577.5,15246,19057
,24,204,34,550,577.5,15708,19635
,24,210,35,550,577.5,16170,20212
,24,216,36,550,577.5,16632,20790
,24,222,37,550,577.5,17094,21367
,24,228,38,550,577.5,17556,21945
,24,234,39,550,577.5,18018,22522
,36,0,0,550,577.5,0,0
,36,48,12,550,577.5,5544,6930
,36,54,13.5,550,577.5,6237,7796
,36,60,15,550,577.5,6930,8662
,36,66,16.5,550,577.5,7623,9528
,36,72,18,550,577.5,8316,10395
,36,78,19.5,550,577.5,9009,11261
,36,84,21,550,577.5,9702,12127
,36,90,22.5,550,577.5,10395,12993
,36,96,24,550,577.5,11088,13860
,36,102,25.5,550,577.5,11781,14726
,36,108,27,550,577.5,12474,15592
,36,114,28.5,550,577.5,13167,16458
,36,120,30,550,577.5,13860,17325
,36,126,31.5,550,577.5,14553,18191
,36,132,33,550,577.5,15246,19057
,36,138,34.5,550,577.5,15939,19923
,36,144,36,550,577.5,16632,20790
,36,150,37.5,550,577.5,17325,21656
,36,156,39,550,577.5,18018,22522
,36,162,40.5,550,577.5,18711,23388
,36,168,42,550,577.5,19404,24255
,36,174,43.5,550,577.5,20097,25121
,36,180,45,550,577.5,20790,25987
,36,186,46.5,550,577.5,21483,26853
,36,192,48,550,577.5,22176,27720
,36,198,49.5,550,577.5,22869,28586
,36,204,51,550,577.5,23562,29452
,36,210,52.5,550,577.5,24255,30318
,36,216,54,550,577.5,24948,31185
,36,222,55.5,550,577.5,25641,32051
,36,228,57,550,577.5,26334,32917
,36,234,58.5,550,577.5,27027,33783
,48,0,0,550,577.5,0,0
,48,48,16,550,577.5,7392,9240
,48,54,18,550,577.5,8316,10395
,48,60,20,550,577.5,9240,11550
,48,66,22,550,577.5,10164,12705
,48,72,24,550,577.5,11088,13860
,48,78,26,550,577.5,12012,15015
,48,84,28,550,577.5,12936,16170
,48,90,30,550,577.5,13860,17325
,48,96,32,550,577.5,14784,18480
,48,102,34,550,577.5,15708,19635
,48,108,36,550,577.5,16632,20790
,48,114,38,550,577.5,17556,21945
,48,120,40,550,577.5,18480,23100
,48,126,42,550,577.5,19404,24255
,48,132,44,550,577.5,20328,25410
,48,138,46,550,577.5,21252,26565
,48,144,48,550,577.5,22176,27720
,48,150,50,550,577.5,23100,28875
,48,156,52,550,577.5,24024,30030
,48,162,54,550,577.5,24948,31185
,48,168,56,550,577.5,25872,32340
,48,174,58,550,577.5,26796,33495
,48,180,60,550,577.5,27720,34650
,48,186,62,550,577.5,28644,35805
,48,192,64,550,577.5,29568,36960
,48,198,66,550,577.5,30492,38115
,48,204,68,550,577.5,31416,39270
,48,210,70,550,577.5,32340,40425
,48,216,72,550,577.5,33264,41580
,48,222,74,550,577.5,34188,42735
,48,228,76,550,577.5,35112,43890
,48,234,78,550,577.5,36036,45045
,,,,,,,
Ultimat HD,,,Sqft,Rate,Rate+GST,Online Price,List Price
,24,0,0,400,472,0,0
,24,48,8,400,472,3020,3775
,24,54,9,400,472,3398,4247
,24,60,10,400,472,3776,4720
,24,66,11,400,472,4153,5191
,24,72,12,400,472,4531,5663
,24,78,13,400,472,4908,6135
,24,84,14,400,472,5286,6607
,24,90,15,400,472,5664,7080
,24,96,16,400,472,6041,7551
,24,102,17,400,472,6419,8023
,24,108,18,400,472,6796,8495
,24,114,19,400,472,7174,8967
,24,120,20,400,472,7552,9440
,24,126,21,400,472,7929,9911
,24,132,22,400,472,8307,10383
,24,138,23,400,472,8684,10855
,24,144,24,400,472,9062,11327
,48,0,0,400,472,0,0
,48,48,16,400,472,6041,7551
,48,54,18,400,472,6796,8495
,48,60,20,400,472,7552,9440
,48,66,22,400,472,8307,10383
,48,72,24,400,472,9062,11327
,48,78,26,400,472,9817,12271
,48,84,28,400,472,10572,13215
,48,90,30,400,472,11328,14160
,48,96,32,400,472,12083,15103
,48,102,34,400,472,12838,16047
,48,108,36,400,472,13593,16991
,48,114,38,400,472,14348,17935
,48,120,40,400,472,15104,18880
,48,126,42,400,472,15859,19823
,48,132,44,400,472,16614,20767
,48,138,46,400,472,17369,21711
,48,144,48,400,472,18124,22655
,,,,,,,
,,,Sqft,Rate,Rate+GST,Online Price,List Price
UltiRake,24,0,0,400,420,0,0
,24,48,8,400,420,2688,3360
,24,54,9,400,420,3024,3780
,24,60,10,400,420,3360,4200
,24,66,11,400,420,3696,4620
,24,72,12,400,420,4032,5040
,24,78,13,400,420,4368,5460
,24,84,14,400,420,4704,5880
,24,90,15,400,420,5040,6300
,24,96,16,400,420,5376,6720
,24,102,17,400,420,5712,7140
,24,108,18,400,420,6048,7560
,24,114,19,400,420,6384,7980
,24,120,20,400,420,6720,8400
,24,126,21,400,420,7056,8820
,24,132,22,400,420,7392,9240
,24,138,23,400,420,7728,9660
,24,144,24,400,420,8064,10080
,36,0,0,400,420,0,0
,36,48,12,400,420,4032,5040
,36,54,13.5,400,420,4536,5670
,36,60,15,400,420,5040,6300
,36,66,16.5,400,420,5544,6930
,36,72,18,400,420,6048,7560
,36,78,19.5,400,420,6552,8190
,36,84,21,400,420,7056,8820
,36,90,22.5,400,420,7560,9450
,36,96,24,400,420,8064,10080
,36,102,25.5,400,420,8568,10710
,36,108,27,400,420,9072,11340
,36,114,28.5,400,420,9576,11970
,36,120,30,400,420,10080,12600
,36,126,31.5,400,420,10584,13230
,36,132,33,400,420,11088,13860
,36,138,34.5,400,420,11592,14490
,36,144,36,400,420,12096,15120
,48,0,0,400,420,0,0
,48,48,16,400,420,5376,6720
,48,54,18,400,420,6048,7560
,48,60,20,400,420,6720,8400
,48,66,22,400,420,7392,9240
,48,72,24,400,420,8064,10080
,48,78,26,400,420,8736,10920
,48,84,28,400,420,9408,11760
,48,90,30,400,420,10080,12600
,48,96,32,400,420,10752,13440
,48,102,34,400,420,11424,14280
,48,108,36,400,420,12096,15120
